API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 05:39:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
 X =-1.459056548838646E+08 Y =-3.458314875618418E+07 Z =-2.441986274399608E+04
2461133.957320602 = A.D. 2026-Apr-03 10:58:32.5000 TDB 
 X =-1.458811021414590E+08 Y =-3.469104680524673E+07 Z =-2.462398349387199E+04
2461133.998987269 = A.D. 2026-Apr-03 11:58:32.5000 TDB 
 X =-1.458564465303687E+08 Y =-3.479891138580503E+07 Z =-2.482581070079654E+04
2461134.040653935 = A.D. 2026-Apr-03 12:58:32.5000 TDB 
 X =-1.458316882263442E+08 Y =-3.490674219936965E+07 Z =-2.502532920725644E+04
2461134.082320602 = A.D. 2026-Apr-03 13:58:32.5000 TDB 
 X =-1.458068274070267E+08 Y =-3.501453894917832E+07 Z =-2.522252406675555E+04
2461134.123987269 = A.D. 2026-Apr-03 14:58:32.5000 TDB 
 X =-1.457818642519287E+08 Y =-3.512230134020590E+07 Z =-2.541738054399379E+04
2461134.165653935 = A.D. 2026-Apr-03 15:58:32.5000 TDB 
 X =-1.457567989424134E+08 Y =-3.523002907917440E+07 Z =-2.560988411502354E+04
2461134.207320602 = A.D. 2026-Apr-03 16:58:32.5000 TDB 
 X =-1.457316316616752E+08 Y =-3.533772187456256E+07 Z =-2.580002046735026E+04
2461134.248987269 = A.D. 2026-Apr-03 17:58:32.5000 TDB 
 X =-1.457063625947190E+08 Y =-3.544537943661518E+07 Z =-2.598777550005168E+04
2461134.290653935 = A.D. 2026-Apr-03 18:58:32.5000 TDB 
 X =-1.456809919283411E+08 Y =-3.555300147735231E+07 Z =-2.617313532385603E+04
2461134.332320602 = A.D. 2026-Apr-03 19:58:32.5000 TDB 
 X =-1.456555198511089E+08 Y =-3.566058771057797E+07 Z =-2.635608626119420E+04
2461134.373987269 = A.D. 2026-Apr-03 20:58:32.5000 TDB 
 X =-1.456299465533412E+08 Y =-3.576813785188889E+07 Z =-2.653661484625563E+04
2461134.415653935 = A.D. 2026-Apr-03 21:58:32.5000 TDB 
 X =-1.456042722270884E+08 Y =-3.587565161868274E+07 Z =-2.671470782500505E+04
2461134.457320602 = A.D. 2026-Apr-03 22:58:32.5000 TDB 
 X =-1.455784970661129E+08 Y =-3.598312873016633E+07 Z =-2.689035215518624E+04
2461134.498987269 = A.D. 2026-Apr-03 23:58:32.5000 TDB 
 X =-1.455526212658693E+08 Y =-3.609056890736336E+07 Z =-2.706353500629775E+04
2461134.540653935 = A.D. 2026-Apr-04 00:58:32.5000 TDB 
 X =-1.455266450234852E+08 Y =-3.619797187312216E+07 Z =-2.723424375957623E+04
